cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,total_workers,worker_to_jobloss_rate,cbsa_cbsaName
12740,"Barre, VT",1151,0.0,-4.5,9.1,113.4,3.4,60.5,178.8,20.5,60.8,12.7,13.9,-30.8,2.7,-5.4,-260.4,241.1,63.5,486.3,3.4,182.2,28689,0.04013,"12740, Barre, VT"
13540,"Bennington, VT",577,0.0,-0.9,3.0,56.8,15.2,22.3,121.9,17.5,25.2,3.8,6.2,-5.5,1.9,-8.1,-152.4,127.3,47.4,253.4,1.4,40.7,15224,0.0379,"13540, Bennington, VT"
13700,"Big Spring, TX",645,0.0,380.4,-3.0,69.4,42.4,-5.2,-20.6,-18.9,11.9,-5.6,0.5,-24.0,2.7,-0.3,-1.0,81.9,18.3,72.8,39.1,3.9,15100,0.04268,"13700, Big Spring, TX"
15460,"Burlington, IA-IL",965,0.0,-0.6,1.9,44.4,17.5,22.4,2.0,21.0,31.2,8.5,6.6,22.7,9.1,11.5,216.1,256.8,57.4,195.0,18.5,23.3,22527,0.04285,"15460, Burlington, IA-IL"
15700,"Cambridge, MD",764,0.0,-0.1,1.4,46.3,60.1,18.1,63.5,8.2,20.0,10.6,11.2,-5.2,2.2,29.6,15.4,94.1,71.2,268.3,38.3,10.5,15644,0.04882,"15700, Cambridge, MD"
16020,"Cape Girardeau, MO-IL",1094,0.0,-16.0,2.8,16.5,139.5,34.7,104.9,-32.8,78.4,67.3,81.5,-0.4,44.1,41.0,-220.7,212.7,94.5,344.8,59.2,42.2,43444,0.02519,"16020, Cape Girardeau, MO-IL"
16660,"Charleston-Mattoon, IL",1594,0.0,9.0,2.0,20.0,265.2,14.5,63.1,-5.3,36.6,31.9,21.6,26.8,17.3,67.0,253.9,246.4,49.6,386.6,40.6,46.8,25028,0.06367,"16660, Charleston-Mattoon, IL"
17540,"Clinton, IA",981,0.0,-1.7,1.7,58.2,3.7,23.5,-14.4,37.5,72.8,6.5,6.7,13.6,11.2,23.7,255.2,245.5,28.7,182.2,9.1,17.5,23514,0.04172,"17540, Clinton, IA"
19460,"Decatur, AL",1397,0.0,12.3,-1.2,284.8,-96.6,53.6,43.6,-63.4,22.9,34.9,26.1,-47.4,23.4,155.1,356.0,233.3,28.2,219.0,88.1,24.2,63115,0.02213,"19460, Decatur, AL"
20340,"Duncan, OK",747,0.0,409.4,0.4,12.5,81.3,5.9,-1.1,1.0,20.2,28.0,10.9,6.5,0.0,61.7,-57.2,132.5,21.8,-7.5,14.0,6.4,17294,0.04319,"20340, Duncan, OK"
20660,"Easton, MD",887,0.0,-0.1,1.5,57.4,32.3,17.8,66.7,5.3,25.7,13.3,13.5,-8.6,2.6,42.4,16.7,99.8,120.0,315.3,54.1,11.1,17031,0.05207,"20660, Easton, MD"
21120,"Elk City, OK",446,0.0,348.4,0.4,8.3,5.1,4.7,-10.1,1.4,9.4,13.0,9.4,5.1,3.7,15.6,-25.3,44.5,4.6,0.0,3.8,3.6,7897,0.05642,"21120, Elk City, OK"
21260,"Ellensburg, WA",343,0.0,-0.6,-0.1,-6.3,86.8,6.1,-70.0,12.5,-4.2,0.6,9.6,-21.3,0.0,22.9,-147.5,-51.0,123.4,289.5,45.0,47.3,17551,0.01953,"21260, Ellensburg, WA"
